subject,status_file_exists,status,timestamp,output_directory,error_message,raw_content
00069,True,ERROR,2025-08-23 17:40:40.923996,/root/autodl-tmp/00069/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00069 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:40.923996
Output Directory: /root/autodl-tmp/00069/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00070,True,ERROR,2025-08-23 17:40:32.164191,/root/autodl-tmp/00070/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00070 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:32.164191
Output Directory: /root/autodl-tmp/00070/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00071,True,ERROR,2025-08-23 17:40:35.831701,/root/autodl-tmp/00071/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00071 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:35.831701
Output Directory: /root/autodl-tmp/00071/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00072,True,ERROR,2025-08-23 17:40:37.756649,/root/autodl-tmp/00072/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00072 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:37.756649
Output Directory: /root/autodl-tmp/00072/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00073,True,ERROR,2025-08-23 17:40:36.237629,/root/autodl-tmp/00073/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00073 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:36.237629
Output Directory: /root/autodl-tmp/00073/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00074,True,ERROR,2025-08-23 17:40:35.972240,/root/autodl-tmp/00074/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00074 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:35.972240
Output Directory: /root/autodl-tmp/00074/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00075,True,ERROR,2025-08-23 17:40:38.116114,/root/autodl-tmp/00075/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00075 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:38.116114
Output Directory: /root/autodl-tmp/00075/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00076,True,ERROR,2025-08-23 17:40:41.116293,/root/autodl-tmp/00076/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00076 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:41.116293
Output Directory: /root/autodl-tmp/00076/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00077,True,ERROR,2025-08-23 17:40:36.910051,/root/autodl-tmp/00077/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00077 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:36.910051
Output Directory: /root/autodl-tmp/00077/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00078,True,ERROR,2025-08-23 17:40:43.119787,/root/autodl-tmp/00078/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00078 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:43.119787
Output Directory: /root/autodl-tmp/00078/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
